Repeat,Fold,GSM_ID,Label,GEO_ID,Random_state
1,1,GSM3036796,0,GSE111662,42
1,1,GSM1501869,1,GSE61304,42
1,1,GSM719676,1,GSE29044,42
1,1,GSM719683,0,GSE29044,42
1,1,GSM728622,0,GSE29431,42
1,1,GSM719650,1,GSE29044,42
1,1,GSM719664,1,GSE29044,42
1,1,GSM719726,1,GSE29044,42
1,1,GSM272145,0,GSE10780,42
1,1,GSM272159,0,GSE10780,42
1,1,GSM719681,1,GSE29044,42
1,1,GSM742677,0,GSE30010,42
1,1,GSM1045213,1,GSE42568,42
1,1,GSM272236,0,GSE10780,42
1,1,GSM272195,0,GSE10780,42
1,1,GSM1501879,0,GSE61304,42
1,1,GSM272239,0,GSE10780,42
1,1,GSM1045223,1,GSE42568,42
1,1,GSM1045311,1,GSE42568,42
1,1,GSM728636,1,GSE29431,42
1,1,GSM1045247,1,GSE42568,42
1,1,GSM719659,1,GSE29044,42
1,1,GSM3036788,0,GSE111662,42
1,1,GSM742711,0,GSE30010,42
1,1,GSM1045208,1,GSE42568,42
1,1,GSM742770,0,GSE30010,42
1,1,GSM719665,1,GSE29044,42
1,1,GSM719660,1,GSE29044,42
1,1,GSM272148,0,GSE10780,42
1,1,GSM719640,0,GSE29044,42
1,1,GSM272302,0,GSE10780,42
1,1,GSM1501845,1,GSE61304,42
1,1,GSM272253,1,GSE10780,42
1,1,GSM742766,0,GSE30010,42
1,1,GSM272203,1,GSE10780,42
1,1,GSM742715,0,GSE30010,42
1,1,GSM272306,0,GSE10780,42
1,1,GSM272220,0,GSE10780,42
1,1,GSM728621,0,GSE29431,42
1,1,GSM719698,0,GSE29044,42
1,1,GSM272183,0,GSE10780,42
1,1,GSM728640,1,GSE29431,42
1,1,GSM272226,0,GSE10780,42
1,1,GSM719691,0,GSE29044,42
1,1,GSM1501872,1,GSE61304,42
1,1,GSM272260,0,GSE10780,42
1,1,GSM728639,1,GSE29431,42
1,1,GSM728671,1,GSE29431,42
1,1,GSM742762,0,GSE30010,42
1,1,GSM85481,1,GSE3744,42
1,1,GSM1045221,1,GSE42568,42
1,1,GSM1501824,1,GSE61304,42
1,1,GSM719738,1,GSE29044,42
1,1,GSM1045254,1,GSE42568,42
1,1,GSM1045231,1,GSE42568,42
1,1,GSM728619,0,GSE29431,42
1,1,GSM719687,0,GSE29044,42
1,1,GSM742690,0,GSE30010,42
1,1,GSM1045230,1,GSE42568,42
1,1,GSM272228,0,GSE10780,42
1,1,GSM272300,1,GSE10780,42
1,1,GSM742748,0,GSE30010,42
1,1,GSM1501859,1,GSE61304,42
1,1,GSM272229,0,GSE10780,42
1,1,GSM728638,1,GSE29431,42
1,1,GSM272189,1,GSE10780,42
1,1,GSM272259,0,GSE10780,42
1,1,GSM728628,1,GSE29431,42
1,1,GSM1045219,1,GSE42568,42
1,1,GSM1045256,1,GSE42568,42
1,1,GSM3036802,0,GSE111662,42
1,1,GSM662778,0,GSE26910,42
1,1,GSM272315,0,GSE10780,42
1,1,GSM272137,0,GSE10780,42
1,1,GSM1045277,1,GSE42568,42
1,1,GSM742759,0,GSE30010,42
1,1,GSM1045288,1,GSE42568,42
1,1,GSM1045305,1,GSE42568,42
1,1,GSM272211,1,GSE10780,42
1,1,GSM85475,1,GSE3744,42
1,1,GSM272254,1,GSE10780,42
1,1,GSM719723,1,GSE29044,42
1,1,GSM272150,0,GSE10780,42
1,1,GSM742668,0,GSE30010,42
1,1,GSM1501862,1,GSE61304,42
1,1,GSM742753,0,GSE30010,42
1,1,GSM272271,0,GSE10780,42
1,1,GSM719739,1,GSE29044,42
1,1,GSM272270,0,GSE10780,42
1,1,GSM728646,1,GSE29431,42
1,1,GSM728612,0,GSE29431,42
1,1,GSM742724,0,GSE30010,42
1,1,GSM742683,0,GSE30010,42
1,1,GSM272188,1,GSE10780,42
1,1,GSM728667,1,GSE29431,42
1,1,GSM719741,1,GSE29044,42
1,1,GSM728633,1,GSE29431,42
1,1,GSM272266,0,GSE10780,42
1,1,GSM272206,0,GSE10780,42
1,1,GSM1045309,1,GSE42568,42
1,1,GSM1045202,0,GSE42568,42
1,1,GSM272261,0,GSE10780,42
1,1,GSM719722,1,GSE29044,42
1,1,GSM272180,0,GSE10780,42
1,1,GSM728647,1,GSE29431,42
1,1,GSM272311,0,GSE10780,42
1,1,GSM742726,0,GSE30010,42
1,1,GSM1501828,1,GSE61304,42
1,1,GSM272212,0,GSE10780,42
1,1,GSM85513,0,GSE3744,42
1,1,GSM272294,0,GSE10780,42
1,1,GSM719689,0,GSE29044,42
1,1,GSM272210,0,GSE10780,42
1,1,GSM1045281,1,GSE42568,42
1,1,GSM1045251,1,GSE42568,42
1,1,GSM728632,1,GSE29431,42
1,1,GSM719740,1,GSE29044,42
1,1,GSM1501819,1,GSE61304,42
1,1,GSM719706,1,GSE29044,42
1,1,GSM1045228,1,GSE42568,42
1,1,GSM3036806,0,GSE111662,42
1,1,GSM1501826,1,GSE61304,42
1,2,GSM272153,1,GSE10780,42
1,2,GSM1501861,1,GSE61304,42
1,2,GSM742754,0,GSE30010,42
1,2,GSM272249,0,GSE10780,42
1,2,GSM719696,0,GSE29044,42
1,2,GSM742689,0,GSE30010,42
1,2,GSM662771,1,GSE26910,42
1,2,GSM719637,0,GSE29044,42
1,2,GSM719642,0,GSE29044,42
1,2,GSM742672,0,GSE30010,42
1,2,GSM742705,0,GSE30010,42
1,2,GSM85505,1,GSE3744,42
1,2,GSM85477,1,GSE3744,42
1,2,GSM719711,1,GSE29044,42
1,2,GSM1045215,1,GSE42568,42
1,2,GSM85495,1,GSE3744,42
1,2,GSM272297,0,GSE10780,42
1,2,GSM742751,0,GSE30010,42
1,2,GSM728617,0,GSE29431,42
1,2,GSM3036789,0,GSE111662,42
1,2,GSM742673,0,GSE30010,42
1,2,GSM742676,0,GSE30010,42
1,2,GSM3036786,0,GSE111662,42
1,2,GSM272307,0,GSE10780,42
1,2,GSM728659,1,GSE29431,42
1,2,GSM272155,0,GSE10780,42
1,2,GSM1045217,1,GSE42568,42
1,2,GSM272213,1,GSE10780,42
1,2,GSM272176,0,GSE10780,42
1,2,GSM85485,1,GSE3744,42
1,2,GSM85500,1,GSE3744,42
1,2,GSM728675,1,GSE29431,42
1,2,GSM742722,0,GSE30010,42
1,2,GSM742752,0,GSE30010,42
1,2,GSM728676,1,GSE29431,42
1,2,GSM742730,0,GSE30010,42
1,2,GSM272305,0,GSE10780,42
1,2,GSM272273,0,GSE10780,42
1,2,GSM742693,0,GSE30010,42
1,2,GSM742745,0,GSE30010,42
1,2,GSM272309,1,GSE10780,42
1,2,GSM742682,0,GSE30010,42
1,2,GSM1826239,0,GSE71053,42
1,2,GSM719639,0,GSE29044,42
1,2,GSM742723,0,GSE30010,42
1,2,GSM719653,1,GSE29044,42
1,2,GSM1045192,0,GSE42568,42
1,2,GSM272171,0,GSE10780,42
1,2,GSM1501847,1,GSE61304,42
1,2,GSM662769,1,GSE26910,42
1,2,GSM85498,1,GSE3744,42
1,2,GSM1501850,1,GSE61304,42
1,2,GSM85511,1,GSE3744,42
1,2,GSM1826238,0,GSE71053,42
1,2,GSM85510,1,GSE3744,42
1,2,GSM742742,0,GSE30010,42
1,2,GSM719730,1,GSE29044,42
1,2,GSM1501825,1,GSE61304,42
1,2,GSM85516,0,GSE3744,42
1,2,GSM1826225,1,GSE71053,42
1,2,GSM85486,1,GSE3744,42
1,2,GSM272308,0,GSE10780,42
1,2,GSM85497,1,GSE3744,42
1,2,GSM85518,0,GSE3744,42
1,2,GSM1501832,1,GSE61304,42
1,2,GSM1045193,0,GSE42568,42
1,2,GSM1826231,1,GSE71053,42
1,2,GSM272190,0,GSE10780,42
1,2,GSM719705,1,GSE29044,42
1,2,GSM728654,1,GSE29431,42
1,2,GSM3036781,0,GSE111662,42
1,2,GSM1501875,1,GSE61304,42
1,2,GSM719716,1,GSE29044,42
1,2,GSM719649,1,GSE29044,42
1,2,GSM272219,0,GSE10780,42
